name,genre,type,episodes,members,rating
One Punch Man Specials,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",Special,6.0,75502,7.86
Seikai no Senki,"Action, Military, Romance, Sci-Fi, Space",TV,13.0,18580,7.86
Sora no Otoshimono: Forte,"Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",TV,12.0,146697,7.86
Space☆Dandy,"Comedy, Sci-Fi, Space",TV,13.0,123529,7.86
Arakawa Under the Bridge x Bridge,"Comedy, Romance, Seinen",TV,13.0,80394,7.85
Detective Conan Movie 10: Promo Special,"Adventure, Comedy, Mystery, Police, Shounen",Special,1.0,4069,7.85
Elfen Lied,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",TV,13.0,623511,7.85
Hachimitsu to Clover Specials,"Comedy, Drama, Josei, Romance, Slice of Life",Special,2.0,21164,7.85
Hello! Lady Lynn,Drama,TV,36.0,1757,7.85
Kami nomi zo Shiru Sekai: Tenri-hen,"Comedy, Harem, Romance, Shounen, Supernatural",OVA,2.0,68623,7.85
Kimi to Boku.,"Comedy, Drama, Romance, School, Shounen, Slice of Life",TV,13.0,86196,7.85
Mahou Sensei Negima! Mou Hitotsu no Sekai,"Action, Adventure, Ecchi, Magic, Shounen, Supernatural",OVA,4.0,12413,7.85
Maria-sama ga Miteru: Haru,"Drama, Romance, School, Shoujo, Shoujo Ai",TV,13.0,14983,7.85
Mobile Suit Gundam 0080: War in the Pocket,"Adventure, Drama, Mecha, Military, Sci-Fi, Space",OVA,6.0,22609,7.85
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,"Comedy, Fantasy, Supernatural",TV,10.0,218231,7.85
Nanatsu no Taizai OVA,"Action, Adventure, Fantasy, Shounen, Supernatural",OVA,2.0,37540,7.85
One Punch Man: Road to Hero,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",OVA,1.0,94839,7.85
Romeo x Juliet,"Drama, Fantasy, Historical, Romance",TV,24.0,91530,7.85
School Rumble Ichi Gakki Hoshuu,"Comedy, Romance, School, Shounen",OVA,2.0,40868,7.85
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,"Comedy, Drama, Slice of Life",Movie,1.0,3304,7.85
Ajin Part 1: Shoudou,"Action, Horror, Mystery, Seinen, Supernatural",Movie,1.0,22279,7.84
Akame ga Kill!,"Action, Adventure, Fantasy",TV,24.0,492133,7.84
AKB0048: Next Stage,"Music, Sci-Fi",TV,13.0,22302,7.84
Change!! Getter Robo: Sekai Saigo no Hi,"Action, Adventure, Horror, Mecha, Psychological, Sci-Fi, Shounen",OVA,13.0,5606,7.84
Death Note Rewrite,"Mystery, Police, Psychological, Supernatural, Thriller",Special,2.0,88699,7.84
Detective Conan Movie 17: Private Eye in the Distant Sea,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1.0,12963,7.84
Hakuouki Sekkaroku,"Action, Demons, Drama, Fantasy, Historical, Josei",OVA,6.0,14725,7.84
Hoozuki no Reitetsu,"Comedy, Fantasy, Supernatural",TV,13.0,47619,7.84
Kuroko no Basket NG-shuu,"Comedy, School, Shounen, Sports",Special,9.0,32215,7.84
Memories,"Drama, Horror, Psychological, Sci-Fi",Movie,3.0,38643,7.84
Naruto: Shippuuden Movie 6 - Road to Ninja,"Action, Adventure, Martial Arts, Shounen, Super Power",Movie,1.0,87369,7.84
Owari no Seraph: Nagoya Kessen-hen,"Action, Drama, Shounen, Supernatural, Vampire",TV,12.0,190058,7.84
Seikai no Senki III,"Action, Military, Romance, Sci-Fi, Space",OVA,2.0,11044,7.84
Seitokai Yakuindomo*,"Comedy, School, Shounen, Slice of Life",TV,13.0,98544,7.84
Space Cobra,"Action, Adventure, Sci-Fi, Space",TV,31.0,6919,7.84
Toaru Majutsu no Index II,"Action, Magic, Sci-Fi, Super Power",TV,24.0,184520,7.84
Tsuritama,"Comedy, Sci-Fi, Slice of Life, Sports",TV,12.0,90625,7.84
Yowamushi Pedal Movie,"Comedy, Drama, Shounen, Sports",Movie,1.0,8838,7.84
Yuru Yuri Nachuyachumi!+,"Comedy, Shoujo Ai, Slice of Life",Special,2.0,19586,7.84
Baka to Test to Shoukanjuu,"Comedy, Romance, School, Super Power",TV,13.0,301282,7.83
Chi&#039;s Sweet Home,"Comedy, Slice of Life",TV,104.0,36307,7.83
Densetsu no Yuusha no Densetsu,"Action, Adventure, Fantasy, Magic, Shounen",TV,24.0,130689,7.83
Fairy Tail OVA,"Comedy, Ecchi, Fantasy, Magic, Shounen",OVA,5.0,83421,7.83
Ichigo Mashimaro OVA,"Comedy, School, Slice of Life",OVA,3.0,15085,7.83
Kingsglaive: Final Fantasy XV,Action,Movie,1.0,15508,7.83
Mobile Police Patlabor 2: The Movie,"Drama, Mecha, Mystery, Police, Sci-Fi",Movie,1.0,11957,7.83
Persona 3 the Movie 1: Spring of Birth,"Action, Fantasy, Seinen, Supernatural",Movie,1.0,45568,7.83
Rozen Maiden: Ouvertüre,"Action, Comedy, Drama, Magic, Seinen",Special,2.0,44388,7.83
Seikai no Monshou,"Action, Military, Romance, Sci-Fi, Space",TV,13.0,26379,7.83
Shaman King,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,64.0,169517,7.83
Sword Art Online,"Action, Adventure, Fantasy, Game, Romance",TV,25.0,893100,7.83
Tetsuwan Birdy Decode:02,"Action, Comedy, Sci-Fi",TV,12.0,29622,7.83
Bishoujo Senshi Sailor Moon Crystal Season III,"Demons, Magic, Romance, Shoujo",TV,13.0,16530,7.83
Bokurano,"Drama, Mecha, Psychological, Sci-Fi",TV,24.0,81408,7.82
Bounen no Xamdou,"Action, Military, Sci-Fi",ONA,26.0,79026,7.82
Break Blade 6: Doukoku no Toride,"Action, Mecha, Military, Shounen",Movie,1.0,39077,7.82
Detective Conan: Conan vs. Kid - Shark &amp; Jewel,"Adventure, Comedy, Kids, Mystery, Police, Shounen",Movie,1.0,2688,7.82
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,"Adventure, Drama, Fantasy, Shounen",Special,1.0,43673,7.82
Hakkenden: Touhou Hakken Ibun 2nd Season,"Action, Fantasy, Shoujo, Supernatural",TV,13.0,33466,7.82
Hidamari Sketch x 365 Specials,"Comedy, School, Slice of Life",Special,3.0,10720,7.82
K: Return of Kings,"Action, Super Power, Supernatural",TV,13.0,114904,7.82
Kill la Kill Special,"Action, Comedy, School, Super Power",Special,1.0,83795,7.82
Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),"Comedy, Police, Slice of Life",TV,373.0,4734,7.82
Macross Plus,"Drama, Mecha, Military, Romance, Sci-Fi, Space",OVA,4.0,23138,7.82
Macross Plus Movie Edition,"Action, Adventure, Mecha, Military, Romance, Sci-Fi, Space",Movie,1.0,8405,7.82
Mitsudomoe Zouryouchuu!,"Comedy, School, Slice of Life",TV,8.0,26468,7.82
Prince of Tennis: Another Story - Messages From Past and Future,"Comedy, School, Shounen, Sports",OVA,4.0,9487,7.82
Saint Seiya: Meiou Hades Elysion-hen,"Action, Fantasy, Shounen, Super Power",OVA,6.0,19044,7.82
To LOVE-Ru Darkness,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",TV,12.0,135929,7.82
To LOVE-Ru Darkness OVA,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",OVA,6.0,57166,7.82
Working!!,"Comedy, Slice of Life",TV,13.0,189367,7.82
Yume-iro Pâtissière SP Professional,"Shoujo, Slice of Life",TV,13.0,20397,7.82
Daa! Daa! Daa!,"Comedy, Sci-Fi, Shoujo",TV,78.0,12673,7.81
Digimon Adventure: Bokura no War Game!,"Adventure, Comedy, Kids, Sci-Fi",Movie,1.0,37078,7.81
Eikoku Koi Monogatari Emma,"Drama, Historical, Romance, Seinen, Slice of Life",TV,12.0,23877,7.81
Full Metal Panic!,"Action, Comedy, Mecha, Military, Sci-Fi",TV,24.0,256325,7.81
Guilty Crown,"Action, Drama, Sci-Fi, Super Power",TV,22.0,460959,7.81
Hoshi wo Ou Kodomo,"Adventure, Fantasy, Romance",Movie,1.0,76286,7.81
"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Military, Sci-Fi",TV,13.0,56839,7.81
Jigoku Shoujo Mitsuganae,"Mystery, Psychological, Supernatural",TV,26.0,58993,7.81
Kara no Kyoukai 1: Fukan Fuukei,"Action, Mystery, Supernatural, Thriller",Movie,1.0,178880,7.81
Kimagure Orange☆Road: Ano Hi ni Kaeritai,"Comedy, Drama, Romance, Shounen, Slice of Life",Movie,1.0,4368,7.81
Kono Subarashii Sekai ni Shukufuku wo! OVA,"Comedy, Fantasy",OVA,1.0,46823,7.81
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,"Action, Drama, Mystery, Supernatural",OVA,8.0,19317,7.82
Lupin the Third: Mine Fujiko to Iu Onna,"Action, Adventure, Comedy, Ecchi, Samurai, Seinen",TV,13.0,22796,7.81
Minami-ke,"Comedy, School, Slice of Life",TV,13.0,105471,7.81
Mobile Suit Gundam: Char&#039;s Counterattack,"Drama, Mecha, Military, Sci-Fi, Space",Movie,1.0,19258,7.81
Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,220.0,683297,7.81
New Game!,"Comedy, Slice of Life",TV,12.0,91932,7.81
Shigatsu wa Kimi no Uso: Moments,"Music, Shounen",OVA,1.0,41368,7.81
Top wo Nerae 2! Diebuster,"Action, Comedy, Mecha, Sci-Fi, Space",OVA,6.0,38691,7.81
Baka to Test to Shoukanjuu: Matsuri,"Comedy, School, Super Power",OVA,2.0,67684,7.8
Blood+,"Action, Drama, Horror, Military, Mystery, Supernatural, Vampire",TV,50.0,208321,7.8
Chrno Crusade,"Action, Demons, Historical, Romance, Supernatural",TV,24.0,140865,7.8
Free!: FrFr - Short Movie,"Comedy, Sports",Special,7.0,35956,7.8
Fruits Basket,"Comedy, Drama, Fantasy, Romance, Shoujo, Slice of Life",TV,26.0,242553,7.8
Gakuen Alice,"Comedy, Magic, School, Shoujo",TV,26.0,52995,7.8
Haikyuu!! Movie 2: Shousha to Haisha,"Comedy, Drama, School, Shounen, Sports",Movie,1.0,10558,7.81
Hourou Musuko,"Drama, School, Slice of Life",TV,11.0,53426,7.8
Huyao Xiao Hongniang: Wangquan Fugui,"Comedy, Romance, Supernatural",ONA,14.0,1119,7.8
Shoukoujo Sara,"Drama, Historical, Shoujo, Slice of Life",TV,46.0,7515,7.8
Soredemo Sekai wa Utsukushii,"Adventure, Fantasy, Romance, Shoujo",TV,12.0,99462,7.8
Tenkuu no Escaflowne,"Adventure, Fantasy, Mecha, Romance, Shoujo",TV,26.0,83437,7.8
The Disappearance of Conan Edogawa: The Worst Two Days in History,"Adventure, Comedy, Mystery, Police, Shounen",Special,1.0,3735,7.8
To LOVE-Ru Darkness 2nd,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",TV,12.0,73909,7.8
Tokyo Ravens,"Comedy, School, Shounen, Super Power, Supernatural",TV,24.0,171384,7.8
Aikatsu! Movie,"Music, School, Shoujo, Slice of Life",Movie,1.0,2813,7.79
Angel Beats! Specials,"Action, Comedy, School, Supernatural",Special,2.0,139013,7.79
Aria The Animation,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13.0,76913,7.79
Break Blade 1: Kakusei no Toki,"Action, Fantasy, Mecha, Military, Shounen",Movie,1.0,58184,7.79
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,"Comedy, Ecchi, Kids, School, Shounen, Slice of Life",Movie,1.0,2688,7.79
Denpa-teki na Kanojo,"Mystery, School, Thriller",OVA,2.0,85409,7.79
Dragon Quest: Dai no Daibouken,"Adventure, Comedy, Demons, Fantasy, Magic, Martial Arts, Shounen",TV,46.0,8999,7.79
Higashi no Eden Soushuuhen: Air Communication,"Comedy, Mystery, Romance",Movie,1.0,20059,7.79
Ichigo Mashimaro Encore,"Comedy, Slice of Life",OVA,2.0,12790,7.79
Inu x Boku SS Special,"Comedy, Shounen, Supernatural",Special,1.0,46803,7.79
Jigoku Shoujo,"Horror, Mystery, Psychological, Supernatural",TV,26.0,172415,7.79
New Initial D Movie: Legend 3 - Mugen,"Cars, Seinen, Sports",Movie,1.0,3479,7.79
Nobunaga Concerto,"Historical, Romance, Shounen",TV,10.0,25167,7.79
Panty &amp; Stocking with Garterbelt,"Action, Comedy, Ecchi, Parody, Supernatural",TV,13.0,157642,7.79
Poyopoyo Kansatsu Nikki,"Comedy, Seinen, Slice of Life",TV,52.0,13832,7.79
Pretty Rhythm: Rainbow Live,"Music, Shoujo, Slice of Life, Sports",TV,51.0,4838,7.79
Ranma ½ Super,"Adventure, Comedy, Martial Arts, Romance, Shounen, Supernatural",OVA,3.0,9936,7.79
Servant x Service,"Comedy, Slice of Life",TV,13.0,81037,7.79
Shakugan no Shana II (Second),"Action, Drama, Fantasy, Romance, School, Supernatural",TV,24.0,184525,7.79
Tales of Vesperia: The First Strike,"Action, Adventure, Fantasy, Magic, Military",Movie,1.0,30524,7.79
Toaru Hikuushi e no Tsuioku,"Adventure, Military, Romance",Movie,1.0,28857,7.79
Towa no Quon 6: Towa no Quon,"Action, Super Power, Supernatural",Movie,1.0,18624,7.79
Ajin,"Action, Horror, Mystery, Seinen, Supernatural",TV,13.0,160972,7.78
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page","Drama, Fantasy, Romance, Shoujo",OVA,1.0,20749,7.77
Bishoujo Senshi Sailor Moon R: The Movie,"Drama, Magic, Romance, Shoujo",Movie,1.0,33682,7.78
Code Geass: Hangyaku no Lelouch Special Edition Black Rebellion,"Action, Mecha, Military, School, Super Power",OVA,1.0,23285,7.78
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,Comedy,Special,1.0,51688,7.78
Ga-Rei: Zero,"Action, Super Power, Supernatural, Thriller",TV,12.0,145102,7.78
Higashi no Eden Movie II: Paradise Lost,"Action, Comedy, Drama, Mystery, Romance, Thriller",Movie,1.0,87062,7.78
Jungle wa Itsumo Hare nochi Guu Final,"Comedy, Slice of Life",OVA,7.0,7576,7.78
Kore wa Zombie Desu ka? of the Dead,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",TV,10.0,180032,7.78
Kyoukai no Kanata: Shinonome,"Fantasy, Slice of Life, Supernatural",Special,1.0,42344,7.78
Lupin III: Episode 0 &quot;First Contact&quot;,"Action, Adventure, Comedy, Mystery, Shounen",Special,1.0,4499,7.78
Minami-ke Tadaima,"Comedy, School, Slice of Life",TV,13.0,31394,7.78
Momo e no Tegami,"Drama, Supernatural",Movie,1.0,30519,7.78
Nurarihyon no Mago,"Action, Demons, Shounen, Supernatural",TV,24.0,122976,7.78
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Special,1.0,11922,7.78
Orange,"Drama, Romance, School, Sci-Fi, Shoujo",TV,13.0,165358,7.78
Over Drive,"Shounen, Sports",TV,26.0,28007,7.78
R.O.D OVA,"Action, Adventure, Historical, Magic, Mystery, Sci-Fi",OVA,3.0,41701,7.78
Rakudai Kishi no Cavalry,"Action, Ecchi, Fantasy, Romance, School",TV,12.0,188685,7.78
Ranma ½ Specials,"Comedy, Drama, Romance, Shounen",OVA,2.0,11084,7.78
Rozen Maiden: Träumend,"Action, Comedy, Drama, Magic, Seinen",TV,12.0,72645,7.78
Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,"Comedy, Drama, School, Shounen, Slice of Life, Sports",Movie,1.0,7856,7.78
Special A,"Comedy, Romance, School, Shoujo",TV,24.0,173603,7.78
Tenchi Muyou! Ryououki 2nd Season,"Action, Comedy, Harem, Sci-Fi, Shounen, Space",OVA,6.0,15837,7.78
Texhnolyze,"Action, Drama, Psychological, Sci-Fi",TV,22.0,95859,7.78
Urusei Yatsura,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",TV,195.0,23020,7.78
Utawarerumono,"Action, Drama, Fantasy, Sci-Fi",TV,26.0,91034,7.78
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,"Action, Comedy, Ecchi, Shounen, Sports",OVA,3.0,40176,7.77
Black Jack 21,"Action, Drama",TV,17.0,6063,7.77
Digimon Adventure tri. 2: Ketsui,"Action, Adventure, Comedy, Drama",Movie,1.0,30684,7.77
Fushigi Yuugi,"Adventure, Comedy, Drama, Fantasy, Historical, Magic, Martial Arts, Romance, Shoujo",TV,52.0,61622,7.77
Ichigo Mashimaro,"Comedy, Slice of Life",TV,12.0,46333,7.77
JoJo no Kimyou na Bouken: Phantom Blood,"Action, Adventure, Horror, Shounen, Vampire",Movie,1.0,8534,7.77
Koyomimonogatari,"Comedy, Mystery, Supernatural",ONA,12.0,45632,7.77
Mobile Suit Gundam 00 Special Edition,"Action, Drama, Mecha, Military, Sci-Fi",OVA,3.0,7087,7.77
Ojamajo Doremi Na-i-sho,"Comedy, Fantasy, Magic, Shoujo",OVA,13.0,3620,7.77
One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,"Adventure, Comedy, Fantasy, Shounen",Movie,1.0,37792,7.77
Sengoku Basara Movie: The Last Party,"Action, Historical, Martial Arts, Samurai, Super Power",Movie,1.0,18267,7.77
Shingeki no Bahamut: Genesis,"Action, Adventure, Demons, Fantasy, Magic, Supernatural",TV,12.0,143701,7.77
Tenchi Muyou! Ryououki,"Action, Comedy, Sci-Fi, Shounen, Space",OVA,6.0,25902,7.77
Tonari no Kaibutsu-kun,"Comedy, Romance, School, Shoujo, Slice of Life",TV,13.0,349836,7.77
Zero no Tsukaima F,"Adventure, Ecchi, Fantasy, Magic, Romance",TV,12.0,174026,7.77
Ao Haru Ride OVA,"Romance, School, Shoujo, Slice of Life",OVA,2.0,46864,7.76
Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, Shoujo",Movie,1.0,29394,7.76
Bokura wa Minna Kawaisou: Hajimete no,"Comedy, Romance, School, Slice of Life",Special,1.0,20622,7.76
Bungou Stray Dogs,"Action, Comedy, Mystery, Seinen, Supernatural",TV,12.0,187805,7.76
Detective Conan Movie 19: The Hellfire Sunflowers,"Action, Mystery, Police, Shounen",Movie,1.0,8600,7.77
Doraemon (1979),"Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen",TV,1787.0,14233,7.76
Genshiken,"Comedy, Parody, Slice of Life",TV,12.0,104258,7.76
Ginga Tetsudou 999 (Movie),"Adventure, Drama, Fantasy, Sci-Fi, Space",Movie,1.0,7237,7.76
Girls und Panzer: Kore ga Hontou no Anzio-sen Desu!,"Military, School",OVA,1.0,16143,7.76
Hakuouki Hekketsuroku,"Action, Drama, Historical, Josei, Samurai, Supernatural",TV,10.0,49771,7.76
Hetalia Axis Powers,"Comedy, Historical, Parody",ONA,52.0,144898,7.76
Itazura na Kiss,"Comedy, Romance, Shoujo",TV,25.0,136279,7.76
Lupin III,"Action, Adventure, Comedy, Shounen",TV,23.0,34373,7.76
Mahouka Koukou no Rettousei,"Magic, Romance, School, Sci-Fi, Supernatural",TV,26.0,285317,7.76
Majin Tantei Nougami Neuro,"Comedy, Demons, Mystery, Shounen, Supernatural",TV,25.0,42730,7.76
Master Keaton,"Adventure, Mystery",TV,24.0,9610,7.76
No.6,"Action, Sci-Fi",TV,11.0,168017,7.76
One Piece Movie 4: Dead End no Bouken,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Movie,1.0,39946,7.76
Senjou no Valkyria,"Action, Military, Romance",TV,26.0,77591,7.76
Tegamibachi,"Adventure, Fantasy, Shounen, Supernatural",TV,25.0,70987,7.76
Towa no Quon 4: Guren no Shoushin,"Action, Super Power, Supernatural",Movie,1.0,18545,7.76
Turn A Gundam,"Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",TV,50.0,20056,7.76
Bleach Movie 4: Jigoku-hen,"Action, Comedy, Shounen, Super Power, Supernatural",Movie,1.0,94074,7.75
D-Frag!,"Comedy, Game, School, Seinen",TV,12.0,154548,7.75
Detective Conan Movie 09: Promo Special,"Adventure, Comedy, Mystery, Police, Shounen",Special,1.0,4172,7.75
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Special,1.0,46276,7.75
Go! Princess Precure,"Action, Comedy, Fantasy, Magic, School, Shoujo, Slice of Life",TV,50.0,5098,7.74
Hayate no Gotoku!,"Action, Comedy, Harem, Parody, Romance",TV,52.0,130085,7.75
InuYasha: Kagami no Naka no Mugenjo,"Adventure, Demons, Drama, Fantasy, Historical, Romance, Shounen, Supernatural",Movie,1.0,54854,7.75
Kanojo to Kanojo no Neko: Everything Flows,"Psychological, Romance, Slice of Life",TV,4.0,38765,7.75
Kara no Kyoukai Remix: Gate of Seventh Heaven,"Action, Mystery, Romance, Super Power, Thriller",Movie,1.0,24735,7.75
Kino no Tabi: The Beautiful World - Tou no Kuni,"Adventure, Fantasy, Psychological",Special,1.0,19211,7.75
"Kono Danshi, Ningyo Hiroimashita.","Fantasy, Shounen Ai",OVA,1.0,14775,7.75
Kuroko no Basket: Baka ja Katenai no yo!,"Comedy, School, Shounen, Sports",OVA,1.0,26785,7.75
Kyoukai no Kanata Movie: I&#039;ll Be Here - Kako-hen,"Action, Fantasy, Supernatural",Movie,1.0,42304,7.75
Mahoujin Guru Guru,"Adventure, Comedy, Fantasy, Magic, Shounen",TV,45.0,3725,7.75
One Piece: Heart of Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Special,1.0,17443,7.75
Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,"Action, Drama, Fantasy, Shounen, Super Power",Movie,1.0,26958,7.75
The iDOLM@STER,"Comedy, Drama, Music",TV,25.0,81155,7.75
Trapp Ikka Monogatari,"Drama, Historical, Music, Romance",TV,40.0,2839,7.75
Utawarerumono Specials,"Action, Comedy, Drama, Fantasy",Special,6.0,11149,7.75
World Trigger,"Action, School, Sci-Fi, Shounen, Supernatural",TV,73.0,106872,7.75
Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,"Action, Mecha, Sci-Fi, Super Power",TV,12.0,1780,7.75
Bishoujo Senshi Sailor Moon R,"Demons, Magic, Romance, Shoujo",TV,43.0,73305,7.74
Black Jack (TV),Drama,TV,61.0,15552,7.74
Cardcaptor Sakura Movie 1,"Comedy, Drama, Fantasy, Magic, Shoujo",Movie,1.0,56327,7.74
Detective Conan: Black History,"Adventure, Comedy, Mystery, Police, Shounen",Special,1.0,3603,7.74
Fullmetal Alchemist: The Conqueror of Shamballa,"Comedy, Drama, Fantasy, Historical, Military, Shounen",Movie,1.0,186465,7.74
Genshiken OVA,"Comedy, Parody, Slice of Life",OVA,3.0,35493,7.74
Hal,"Romance, Sci-Fi, Shoujo",Movie,1.0,50812,7.74
Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... Desu ka!?,"Fantasy, Kids, Magic, Shoujo",Movie,1.0,3309,7.74
Higashi no Eden Movie I: The King of Eden,"Comedy, Drama, Mystery, Romance, Slice of Life, Thriller",Movie,1.0,101734,7.74
Hungry Heart: Wild Striker,"Comedy, Shounen, Slice of Life, Sports",TV,52.0,13469,7.74
Initial D Battle Stage 2,"Action, Cars, Drama, Seinen, Sports",OVA,1.0,11015,7.74
Kekkai Sensen,"Action, Fantasy, Shounen, Super Power, Supernatural, Vampire",TV,12.0,220573,7.74
Love Stage!! OVA,"Comedy, Romance, Shounen Ai",OVA,1.0,23631,7.74
Mahou Shoujo Lyrical Nanoha StrikerS,"Action, Comedy, Drama, Magic, Super Power",TV,26.0,35442,7.74
Mousou Dairinin,"Drama, Mystery, Police, Psychological, Supernatural, Thriller",TV,13.0,137687,7.74
Muumindani no Suisei,"Adventure, Comedy, Fantasy, Kids",Movie,1.0,4344,7.74
Noein: Mou Hitori no Kimi e,"Adventure, Drama, Sci-Fi, Slice of Life",TV,24.0,56244,7.74
Persona 3 the Movie 3: Falling Down,"Action, Fantasy, Seinen, Supernatural",Movie,1.0,19928,7.74
Sengoku Basara Two,"Action, Historical, Martial Arts, Samurai, Super Power",TV,12.0,42798,7.74
Shakugan no Shana,"Action, Drama, Fantasy, Romance, School, Supernatural",TV,24.0,297058,7.74
Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season,"Action, Drama, Mecha, Military, Sci-Fi",TV,13.0,6787,7.74
Taiyou no Ko Esteban,"Adventure, Historical, Sci-Fi",TV,39.0,5424,7.74
Toriko,"Action, Adventure, Comedy, Fantasy, Shounen",TV,147.0,54790,7.74
UN-GO: Inga-ron,"Mystery, Supernatural",Movie,1.0,23340,7.74
Crayon Shin-chan,"Comedy, Ecchi, Kids, School, Shounen, Slice of Life",TV,1.0,26267,7.73
Diamond no Ace OVA,"Comedy, School, Shounen, Sports",OVA,3.0,7376,7.72
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1.0,1317,7.73
Flip Flappers,"Comedy, Sci-Fi",TV,13.0,40945,7.73
GetBackers,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,49.0,73536,7.73
K,"Action, Super Power, Supernatural",TV,13.0,297051,7.73
Katekyo Hitman Reborn! Special,"Comedy, Shounen",ONA,1.0,19991,7.73
Kekkaishi,"Adventure, Comedy, Fantasy, Shounen",TV,52.0,61884,7.73
Kuroshitsuji II Specials,"Comedy, Fantasy, Parody, Shounen, Supernatural",Special,6.0,60899,7.73
Lady Lady!!,"Drama, Historical",TV,21.0,2681,7.73
Mitsudomoe,"Comedy, School, Slice of Life",TV,13.0,56483,7.73
Prison School OVA,"Comedy, Ecchi, Romance, School, Seinen",OVA,1.0,30887,7.73
Shakugan no Shana III (Final),"Action, Drama, Fantasy, Romance, Supernatural",TV,24.0,133010,7.73
Uchuu Senkan Yamato,"Action, Adventure, Drama, Military, Sci-Fi, Space",TV,26.0,10688,7.73
Wakakusa Monogatari: Nan to Jo-sensei,"Drama, Historical, School, Slice of Life",TV,40.0,2577,7.73
Zero no Tsukaima: Futatsuki no Kishi,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",TV,12.0,235684,7.73
Ansatsu Kyoushitsu: 365-nichi no Jikan,"Action, Comedy, School, Shounen",Movie,1.0,14896,7.72
Daicon Opening Animations,"Action, Adventure, Mecha, Music, Sci-Fi",Special,2.0,7174,7.72
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Movie,1.0,56994,7.72
Durarara!!x2 Ketsu: Dufufufu!!,"Action, Mystery, Supernatural",Special,1.0,13126,7.72
Future GPX Cyber Formula Sin,"Drama, Sci-Fi, Shounen, Sports",OVA,5.0,1070,7.72
Ie Naki Ko Remi Specials,"Adventure, Drama",Special,3.0,781,7.72
Inazuma Eleven,"Shounen, Sports, Super Power",TV,127.0,42677,7.72
Kara no Kyoukai 6: Boukyaku Rokuon,"Action, Magic, Mystery, Romance, Supernatural, Thriller",Movie,1.0,93803,7.72
Kyoukaisenjou no Horizon II,"Action, Fantasy, Sci-Fi",TV,13.0,46781,7.72
Mobile Police Patlabor: On Television,"Comedy, Mecha, Police, Sci-Fi",TV,47.0,16130,7.72
Mujin Wakusei Survive,"Action, Adventure, Fantasy, Sci-Fi, Slice of Life",TV,52.0,11684,7.72
New Prince of Tennis OVA vs. Genius10,"Action, Comedy, Shounen, Sports",OVA,10.0,6238,7.72
